2018_rank,City,State,2018_estimate,2010_census,Change (%),2016_land_area (km2),2016_population_density (/km2),Location,Description,Nickname,County,Govern_type,Govern_body,Govern_mayor,Area_land,Area_water,Area_metro,Elevation,CSA,Time_zone,ZIP_code,Area_code,FIPS_code,Airport,Website,Area_land (km2),Area_water (km2),Area_metro (km2),Elevation (m)
11,Austin,Texas,964254,790390,22.0,809.9,1170,30°18′14″N 97°45′16″W,"Austin is the capital of the U.S. state of Texas and the seat of Travis County, with portions extending into Hays and Williamson counties. It is the 11th-most populous city in the United States and the 4th-most populous city in Texas. It is also the fastest growing large city in the United States, the second most populous state capital after Phoenix, Arizona, and the southernmost state capital in the contiguous United States. As of the U.S. Census Bureau's July 1, 2017 estimate, Austin had a population of 950,715 up from 790,491 at the 2010 census. The city is the cultural and economic center of the Austin–Round Rock metropolitan statistical area, which had an estimated population of 2,168,316 as of July 1, 2018[update]. Located in Central Texas within the greater Texas Hill Country, it is home to numerous lakes, rivers, and waterways, including Lady Bird Lake and Lake Travis on the Colorado River, Barton Springs, McKinney Falls, and Lake Walter E. Long.","Live Music Capital of the World, Silicon Hills, ATX, City of the Violet Crown","Hays, Travis, Williamson",Council–manager,,Steve Adler (D),297.9 sq mi (771.5 km2),7.2 sq mi (18.6 km2),"4,285.70 sq mi (11,099.91 km2)","289 - 1,330 ft (88 - 405 m)",,UTC−6 (CST),"78701-78705, 78708-78739, 78741-78742, 78744-78769","512,737",48-05000,Austin–Bergstrom International Airport,www.austintexas.gov,771.5,18.6,11099.91,
12,Jacksonville,Florida,903889,821784,9.99,1935.8,455,30°20′13″N 81°39′42″W,"Jacksonville is the most populous city in Florida, the most populous city in the southeastern United States and the largest city by area in the contiguous United States. It is the seat of Duval County, with which the city government consolidated in 1968. Consolidation gave Jacksonville its great size and placed most of its metropolitan population within the city limits. As of 2017, Jacksonville's population was estimated to be 892,062. The Jacksonville metropolitan area has a population of 1,523,615 and is the fourth largest in Florida.","Jax, The River City, J-ville, The Bold New City of the South",Duval,Strong Mayor–Council,Jacksonville City Council,Lenny Curry (R),"747.45 sq mi (1,935.87 km2)",127.19 sq mi (329.42 km2),"1,504,980 (US: 39th)",16 ft (5 m),1631488.0,UTC−5 (Eastern (EST)),"32099, 32201-32212, 32214-32241, 32244-32247, 32250, 32254-32260, 32266, 32267, 32277, 32290",904,12-35000,Jacksonville International Airport,City of Jacksonville,1935.87,329.42,,5.0
13,Fort Worth,Texas,895008,741206,20.75,888.1,962,32°46′53″N 97°20′48″W,"Fort Worth is a city in the U.S. state of Texas. It is the 13th-largest city in the United States and fifth-largest city in Texas. It is the county seat of Tarrant County, covering nearly 350 square miles (910 km2) into three other counties: Denton, Parker, and Wise. According to the 2017 census estimates, Fort Worth's population is 874,168. Fort Worth is the second-largest city in the Dallas–Fort Worth–Arlington metropolitan area, which is the 4th most populous metropolitan area in the United States.","Cowtown, Panther City, Funkytown, Metairie of Texas, Queen City of the Prairie","Tarrant, Denton, Parker, Wise",Council-Manager,Fort Worth City Council,Betsy Price (R),342.2 sq mi (886.3 km2),7.0 sq mi (18.1 km2),"7,102,796 (US: 4th)",653 ft (216 m),,UTC−6 (CST),"76120, 76008, 76028, 76036, 76101-76124, 76126-76127, 76130-76137, 76140, 76147-76148, 76150, 76155, 76161-76164, 76166, 76177, 76179, 76180-76182, 76185, 76191-76193, 76195-76199, 76244, 76247, 76262, 761x  , 76107","682,817",48-27000,,fortworthtexas.gov,886.3,18.1,,216.0
14,Columbus,Ohio,892533,787033,13.4,565.9,1520,39°59′07″N 82°59′05″W,"Columbus (/kəˈlʌmbəs/ kə-LUM-bəs) is the state capital of and the most populous city in the U.S. state of Ohio. With a population of 892,533 as of 2018 estimates, it is the 14th-most populous city in the United States  and one of the fastest growing large cities in the nation. This makes Columbus the third-most populous state capital in the US (after Phoenix, Arizona and Austin, Texas) and the second-most populous city in the Midwest (after Chicago, Illinois). It is the core city of the Columbus, OH Metropolitan Statistical Area, which encompasses ten counties. With a population of 2,078,725, it is Ohio's second-largest metropolitan area.","The Discovery City, Arch City, Indie Art Capital, Cowtown, The Biggest Small Town in America, Cbus","Delaware, Fairfield, Franklin, Pickaway",,,Andrew J. Ginther (D),217.17 sq mi (562.47 km2),5.94 sq mi (15.38 km2),"2,078,725 (US: 32nd)",902 ft (275 m),2424831.0,UTC-5 (EST),"43035, 43085, 43201-43207, 43209-43224, 43226-43232, 43234-43236, 43240, 43251, 43260, 43266, 43268, 43270-43272, 43279, 43287, 43291","614,380,740",39-18000,,City of Columbus,562.47,15.38,,275.0
15,San Francisco,California,883305,805235,9.7,121.5,7170,37°43′38″N 123°01′56″W,"San Francisco (SF; /ˌsæn frənˈsɪskoʊ, fræn-/, Spanish: [sam fɾanˈsisko]; Spanish for 'Saint Francis'), officially the City and County of San Francisco, is a city in, and the cultural, commercial, and financial center of, Northern California. San Francisco is the 13th-most populous city in the United States, and the fourth-most populous in California, with 883,305 residents as of 2018. It covers an area of about 46.89 square miles (121.4 km2), mostly at the north end of the San Francisco Peninsula in the San Francisco Bay Area, making it the second-most densely populated large US city, and the fifth-most densely populated U.S. county, behind only four of the five New York City boroughs. San Francisco is also part of the fifth-most populous primary statistical area in the United States, the San Jose–San Francisco–Oakland, CA Combined Statistical Area (9.67 million residents).",See List of nicknames for San Francisco,,Mayor-council,Board of Supervisors,London Breed (D),46.89 sq mi (121.46 km2),185.00 sq mi (479.14 km2)  80.00%,San Francisco–Oakland–Hayward,52 ft (16 m),9666055.0,UTC−8 (Pacific Time Zone),94102-9410594107-9411294114-941349413794139-941479415194158-9416194163-94164941729417794188,415-628,06-67000,,sf.gov,121.46,479.14,,16.0
16,Charlotte,North Carolina,872498,731424,19.29,791.0,1064,35°12′28″N 80°49′52″W,"Charlotte (/ˈʃɑːrlət/) is the most populous city in the U.S. state of North Carolina. Located in the Piedmont, it is the county seat of Mecklenburg County. In 2017, the U.S. Census Bureau estimated the population was 859,035, making it the 17th-most populous city in the United States. The Charlotte metropolitan area's population ranks 23rd in the U.S., and had a 2016 population of 2,474,314.   The Charlotte metropolitan area is part of a sixteen-county market region or combined statistical area with a 2016 census-estimated population of 2,632,249.","The Queen City, The QC, The Hornet's Nest",Mecklenburg,Council-manager,"City Council of Charlotte, North Carolina",Vi Lyles (D),,,"2,474,314 (22nd)",761 ft (232 m),,UTC−5 (EST),"28201-28237, 28240-28247, 28250, 28253-28256, 28258,  28260-28262, 28265-28266, 28269-28275, 28277-28278, 28280-28290, 28296-28297, 28299","704,980",37-12000,,charlottenc.gov,,,,232.0
17,Indianapolis,Indiana,867125,820445,5.69,936.3,914,39°46′36″N 86°08′45″W,"Indianapolis (/ˌɪndiəˈnæpəlɪs/), often shortened to Indy, is the state capital and most populous city of the U.S. state of Indiana and the seat of Marion County. According to 2017 estimates from the U.S. Census Bureau, the consolidated population of Indianapolis and Marion County was 872,680. The ""balance"" population, which excludes semi-autonomous municipalities in Marion County, was 863,002. It is the 16th most populous city in the U.S. The Indianapolis metropolitan area is the 34th most populous metropolitan statistical area in the U.S., with 2,028,614 residents. Its combined statistical area ranks 27th, with a population of 2,411,086. Indianapolis covers 368 square miles (950 km2), making it the 16th largest city by land area in the U.S.","Indy, Circle City, Crossroads of America, Naptown, Amateur Sports Capital of the World, Railroad City",Marion,Strong mayor–council,Indianapolis City-County Council,Joe Hogsett (D),361.51 sq mi (936.30 km2),6.52 sq mi (16.88 km2),"2,004,230 (US: 34th)",715 ft (218 m),2386199.0,UTC−5 (EST),"  46201-46209, 46211, 46214, 46216-46231, 46234-46237, 46239-46242, 46244, 46247, 46249-46251, 46253-46256, 46259-46260, 46266, 46268, 46274-46275, 46277-46278, 46280, 46282-46283, 46285, 46290-46291, 46295-46296, 46298","317,463",18-36003,,www.indy.gov,936.3,16.88,,218.0
18,Seattle,Washington,744955,608660,22.39,217.0,3245,47°37′14″N 122°21′03″W,"Seattle (/siˈætəl/ (listen) see-AT-əl) is a seaport city on the West Coast of the United States. It  is the seat of King County, Washington. With an estimated 744,955 residents as of 2018[update], Seattle is the largest city in both the state of Washington and the Pacific Northwest region of North America. According to U.S. Census data released in 2018, the Seattle metropolitan area's population stands at 3.94 million, and ranks as the 15th largest in the United States. In July 2013, it was the fastest-growing major city in the United States and remained in the top 5 in May 2015 with an annual growth rate of 2.1%. In July 2016, Seattle was again the fastest-growing major U.S. city, with a 3.1% annual growth rate. Seattle is the northernmost large city in the United States.","The Emerald City, Jet City, Rain City",King,Mayor–council,Seattle City Council,Jenny Durkan (D),83.86 sq mi (217.19 km2),58.21 sq mi (150.77 km2),"8,186 sq mi (21,202 km2)",,4853364.0,UTC−8 (PST),"-- - 98101-98119, 98121-98122, 98124-98127, 98129, 98131, 98133-98134, 98136, 98138-98139, 98141, 98144-98146, 98148, 98154-98155, 98158, 98160-98161, 98164-98166, 98168, 98170, 98174-98175, 98177-98178, 98181, 98185, 98188, 98190-98191, 98194-98195, 98198-98199",206,53-63000,,Seattle.gov ,217.19,150.77,21202.0,
19,Denver,Colorado,716492,600158,19.38,397.0,1746,39°45′43″N 104°52′52″W,"Denver (/ˈdɛnvər/), officially the City and County of Denver, is the capital and most populous municipality of the U.S. state of Colorado. Denver is located in the South Platte River Valley on the western edge of the High Plains just east of the Front Range of the Rocky Mountains. The Denver downtown district is immediately east of the confluence of Cherry Creek with the South Platte River, approximately 12 mi (19 km) east of the foothills of the Rocky Mountains. Denver is named after James W. Denver, a governor of the Kansas Territory, and it is nicknamed the Mile High City because its official elevation is exactly one mile (5280 feet or 1609.3 meters) above sea level. The 105th meridian west of Greenwich, the longitudinal reference for the Mountain Time Zone, passes directly through Denver Union Station.",The Mile High CityQueen City of the PlainsWall Street of the West,Denver,Consolidated City and County,Denver City Council,Michael Hancock (D),153.33 sq mi (397.13 km2),1.63 sq mi (4.23 km2)  1.1%,"8,414.4 sq mi (21,793 km2)","5,130–5,690 ft (1,564–1,734 m)",3572798.0,UTC−7 (MST),"80201-80212, 80214-80239, 80241, 80243-80244, 80246-80252, 80256-80266, 80271, 80273-80274, 80279-80281, 80290-80291, 80293-80295, 80299, 80012, 80014, 80022, 80033, 80123, 80127","303,720",08-20000,Denver International Airport,denvergov.org,397.13,4.23,21793.0,
20,"Washington, D.C.",District of Columbia,702455,601723,16.74,158.2,4304,38°54′15″N 77°01′02″W,,,,,,,,,,,,,,,,,,,,,
21,Boston,Massachusetts,694583,617594,12.47,125.1,5381,42°19′55″N 71°01′13″W,"Boston is the capital and most populous city of the Commonwealth of Massachusetts in the United States. The city proper covers 48 square miles (124 km2) with an estimated population of 694,583 in 2018, making it also the most populous city in New England. Boston is the seat of Suffolk County as well, although the county government was disbanded on July 1, 1999. The city is the economic and cultural anchor of a substantially larger metropolitan area known as Greater Boston, a metropolitan statistical area (MSA) home to a census-estimated 4.8 million people in 2016 and ranking as the tenth-largest such area in the country. As a combined statistical area (CSA), this wider commuting region is home to some 8.2 million people, making it the sixth-largest in the United States.",,Suffolk,Strong mayor / Council,,Marty Walsh (D),48.42 sq mi (125.41 km2),41.21 sq mi (106.73 km2),"4,500 sq mi (11,700 km2)",141 ft (43 m),,UTC−5 (EST)," 02108-02137, 02163, 02196, 02199, 02201, 02203, 02204, 02205, 02206, 02210, 02211, 02212, 02215, 02217, 02222, 02126, 02228, 02241, 02266, 02283, 02284, 02293, 02295, 02297, 02298, 02467","617,857",25-07000,Logan International Airport,Boston.gov,125.41,106.73,11700.0,43.0
22,El Paso,Texas,682669,649121,5.17,665.1,1030,31°50′54″N 106°25′37″W,"El Paso (/ɛl ˈpæsoʊ/; from Spanish, ""the pass"") is a city in and the county seat of El Paso County, Texas, United States, in the far western part of the state. The 2018 population estimate for the city from the U.S. Census was 682,669. Its metropolitan statistical area (MSA) covers all of El Paso and Hudspeth counties in Texas, and has a population of 840,758.","The Sun City, El Chuco",El Paso,Council–manager,,,255.3 sq mi (661.1 km2),1.0 sq mi (2.6 km2),El Paso,"3,740 ft (1,140 m)",,UTC−7 (MST),"79900-79999,88500-885 x",915,48-24000,El Paso International AirportELP (Major/International),www.elpasotexas.gov,661.1,2.6,,1140.0
23,Detroit,Michigan,672662,713777,-5.76,359.5,1871,42°22′59″N 83°06′08″W,"Detroit (/dɪˈtrɔɪt/, locally also /ˈdiːtrɔɪt/; French: Détroit, lit. 'strait') is the largest and most populous city in the U.S. state of Michigan, the largest United States city on the United States–Canada border, and the seat of Wayne County. The municipality of Detroit had a 2017 estimated population of 673,104, making it the 23rd-most populous city in the United States. The metropolitan area, known as Metro Detroit, is home to 4.3 million people, making it the second-largest in the Midwest after the Chicago metropolitan area. Regarded as a major cultural center, Detroit is known for its contributions to music and as a repository for art, architecture and design.","The Motor City, Motown, Renaissance City, City of the Straits, The D, Hockeytown, The Automotive Capital of the World, Rock City, The 313, The Arsenal of Democracy, The Town That Put The World on Wheels, Tigertown, The Big D, Détroit, Paris of the West",Wayne,Mayor–council,Detroit City Council,Mike Duggan (D),138.72 sq mi (359.27 km2),4.17 sq mi (10.81 km2),"3,913 sq mi (10,130 km2)",656 ft (200 m),,UTC−5 (EST),"48127, 48201, 48202, 48204-48206, 48208-48210, 48212-48217, 48219, 48221-48228, 48231-48235, 48236, 48238-48240, 48243, 48244, 48255, 48260, 48264, 48266-48269, 48272, 48275, 48277-48279, 48288",313,26-22000,,Official website,359.27,10.81,10130.0,200.0
24,Nashville,Tennessee,669053,601222,11.28,1232.6,536,36°10′18″N 86°47′06″W,"Nashville is the capital and most populous city of the U.S. state of Tennessee. The city is the county seat of Davidson County and is located on the Cumberland River. The city's population ranks 24th in the U.S. According to 2017 estimates from the U.S. Census Bureau, the total consolidated city-county population stood at 691,243. The ""balance"" population, which excludes semi-independent municipalities within Davidson County, was 667,560 in 2017.","Music City, Athens of the South",Davidson,,,David Briley (D),"504.03 sq mi (1,305.4 km2)",21.91 sq mi (56.7 km2),"1,903,045",597 ft (182 m),,UTC−6 (CST),37201-37250,"615,629",,,www.nashville.gov,1305.4,56.7,1903045.0,182.0
25,Portland,Oregon,653115,583776,11.88,345.8,1851,45°32′13″N 122°39′00″W,"Portland is the largest and most populous city in the U.S. state of Oregon and the seat of Multnomah County. It is a major port in the Willamette Valley region of the Pacific Northwest, at the confluence of the Willamette and Columbia rivers. As of 2018, Portland had an estimated population of 653,115,  making it the 25th most populated city in the United States, and the second-most populous in the Pacific Northwest (after Seattle). Approximately 2.4 million people live in the Portland metropolitan statistical area (MSA), making it the 25th most populous MSA in the United States. Its Combined Statistical Area (CSA) ranks 19th-largest with a population of around 3.2 million. Approximately 60% of Oregon's population resides within the Portland metropolitan area.","Rose City, Stumptown, PDX, see Nicknames of Portland, Oregon for a complete list.",MultnomahWashingtonClackamas,Commission,,Ted Wheeler (D),133 sq mi (346 km2),12 sq mi (30 km2),"2,478,810 (US: 25th)",50 ft (15.2 m),3239335.0,UTC−08:00 (PST),97086-97299,"503,971",41-59000,,PortlandOregon.gov,346.0,30.0,,15.2
26,Memphis,Tennessee,650618,646889,0.58,822.1,794,35°06′10″N 89°58′39″W,"Memphis is a city located along the Mississippi River in southwestern Shelby County, Tennessee, United States. The 2017 city population was 652,236, making Memphis the largest city on the Mississippi River, second-largest city in Tennessee, as well as the 25th largest city in the United States. Greater Memphis is the 42nd largest metropolitan area in the United States, with a population of 1,348,260 in 2017. The city is the anchor of West Tennessee and the greater Mid-South region, which includes portions of neighboring Arkansas and Mississippi. Memphis is the seat of Shelby County, the most populous county in Tennessee. As one of the most historic and cultural cities of the southern United States, the city features a wide variety of landscapes and distinct neighborhoods.",,Shelby,,,Jim Strickland (D),315.1 sq mi (816.0 km2),9.0 sq mi (23.2 km2),"1,348,260 (US: 42nd)",337 ft (103 m),,UTC−6 (CST),"37501, 37544, 38002, 38016, 38018, 38028, 38088, 38101, 38103-38109, 38111-38120, 38122, 38124-38128, 38130-38139, 38141, 38145, 38147-38148, 38150-38152, 38157, 38159, 38161, 38163, 38166-38168, 38173-38175, 38177, 38181-38182, 38184, 38186-38188, 38190, 38193-38194, 38197",901,47-48000,,City of Memphis,816.0,23.2,,103.0
